State,Infected,Deaths,Tested, Gini,ICU Beds,Total Population,60plus,60plus per bed,60plus pct pop, Income Per Capita,GDP per capita
Alabama,538,3,4755,0.4847,1533,4850771,1065625,53854.0,0.21968157226964538,42334,45219
Alaska,102,0,2921,0.4081,119,738565,117047,6424.0,0.15847894227319193,59687,73205
Arizona,508,8,1057,0.4713,1559,6809946,1502688,21304.0,0.2206607805700662,43650,48055
Arkansas,351,3,3310,0.4719,732,2977944,655552,27536.0,0.22013577152558947,42566,42454
California,4060,82,77800,0.4899,7338,38982847,7292299,68758.0,0.1870643003575393,62586,74205
Colorado,1432,24,11676,0.4586,1597,5436519,1031196,33639.0,0.18967946217055437,56846,63882
Connecticut,1012,21,8400,0.4945,674,3594478,805545,15436.0,0.22410625409308388,74561,76342
Delaware,143,1,201,0.4522,186,943732,220732,4103.0,0.23389267291985436,51449,77253
District of Columbia,267,3,2516,0.542,314,672391,113026,360.0,0.16809564672935837,47285,200277
Florida,2477,29,33822,0.4852,5604,20278447,5200132,52222.0,0.25643640264957174,49417,48318
Georgia,1643,56,9865,0.4813,2508,10201635,1863154,62144.0,0.18263288188608984,45745,55832
Hawaii,106,0,5800,0.442,201,1421658,326878,7568.0,0.22992731022510338,54565,64096
Idaho,189,3,3572,0.4503,314,1657375,342148,12011.0,0.2064397013349423,43155,43430
Illinois,2538,26,21542,0.481,3144,12854526,2614633,57547.0,0.2034017434793006,56933,67268
Indiana,656,18,8407,0.4527,1861,6614418,1369219,76846.0,0.2070052119475969,46646,55172
Iowa,179,1,3975,0.4451,545,3118102,698176,34568.0,0.2239105712385291,48823,59977
Kansas,171,3,3431,0.455,767,2903820,600412,27368.0,0.2067662596166429,50155,56334
Kentucky,248,5,5123,0.4813,1392,4424376,947950,51040.0,0.2142562024565724,41779,46898
Louisiana,2305,83,21359,0.499,1289,4663461,936828,36823.0,0.2008868520611623,45542,53589
Maine,155,0,3605,0.4519,256,1330158,348777,27460.0,0.26220719643831786,48241,47969
Maryland,581,4,1086,0.4499,1134,5996079,1211919,44435.0,0.20211858449496747,62914,68573
Massachusetts,2417,25,29371,0.4786,1326,6789319,1471985,22284.0,0.21680893179419025,70073,82480
Michigan,2878,63,13660,0.4695,2423,9925568,2227519,78461.0,0.22442232021381547,47582,53209
Minnesota,346,2,14003,0.4496,1171,5490726,1140063,56006.0,0.2076342909844709,56374,64675
Mississippi,487,6,2776,0.4828,824,2986220,614864,27850.0,0.20590043600270577,37994,37948
Missouri,507,8,1039,0.4646,1888,6075300,1333838,38063.0,0.21955096867644397,46635,51699
Montana,90,0,3178,0.4667,165,1029862,250486,16401.0,0.24322287840506787,47120,46609
Nebraska,92,0,1903,0.4477,440,1893921,391359,11453.0,0.20663955888339589,52110,63942
Nevada,535,10,8522,0.4577,900,2887725,589328,3845.0,0.20408037468941814,48225,55269
New Hampshire,158,1,4145,0.4304,242,1331848,312572,14579.0,0.23469044515590368,61405,63067
New Jersey,6876,81,25372,0.4813,1822,8960161,1892597,30961.0,0.211223548326866,67609,69378
New Mexico,136,1,9387,0.4769,340,2084828,459775,25371.0,0.22053378024470124,41198,46954
New York,38987,432,50711,0.5229,3952,19798228,4201533,72521.0,0.21221762876960504,68667,85746
North Carolina,638,2,17527,0.478,2227,10052564,2115334,92630.0,0.21042730988830313,45834,54441
North Dakota,58,0,2708,0.4533,238,745475,151255,3780.0,0.202897481471545,54306,72597
Ohio,867,15,1277,0.468,3314,11609756,2593757,97902.0,0.22341184431438524,48242,57492
Oklahoma,248,7,1408,0.4645,1064,3896251,800259,33380.0,0.20539205508064035,46128,50613
Oregon,316,11,8924,0.4583,659,4025127,928932,36991.0,0.2307832771487707,49908,56956
Pennsylvania,1690,16,23234,0.4689,3169,12790505,3027054,82627.0,0.23666415047724856,55349,61594
Rhode Island,165,0,2509,0.4781,279,1056138,237693,7496.0,0.22505865710730985,54523,57852
South Carolina,456,9,2947,0.4735,1225,4893444,1109892,43952.0,0.22681203667600977,42736,45280
South Dakota,46,1,2465,0.4495,152,855444,186396,9064.0,0.21789386564170185,50141,58624
Tennessee,981,3,16091,0.479,2209,6597381,1419659,73430.0,0.21518523789970595,47179,53933
Texas,1543,21,23666,0.48,6199,27419612,4618463,99694.0,0.1684364826168948,49161,61167
Utah,402,1,9244,0.4063,565,2993941,442482,16745.0,0.14779249156880514,45340,55550
Vermont,158,9,2261,0.4539,94,624636,156189,11686.0,0.2500480279714906,53598,53523
Virginia,604,14,9166,0.4705,1654,8365952,1685377,61060.0,0.20145669016508821,56952,62563
Washington,3208,151,52738,0.4591,1265,7169967,1473729,34713.0,0.2055419501930762,60781,74182
West Virginia,76,0,2433,0.4711,653,1836843,469300,25088.0,0.2554927122241803,40578,43053
Wisconsin,754,10,13982,0.4498,1159,5763217,1267239,57985.0,0.21988396411240457,50756,57720
Wyoming,56,0,1395,0.436,102,583200,123584,10687.0,0.21190672153635118,60095,69900
