State,School Closure Date
Alabama,03/16/20
Alaska,03/19/20
Arizona,03/16/20
Arkansas,03/17/20
California,03/19/20
Colorado,03/23/20
Connecticut,03/17/20
Delaware,03/16/20
District of Columbia,03/16/20
Florida,03/16/20
Georgia,03/18/20
Hawaii,03/23/20
Idaho,03/23/20
Illinois,03/17/20
Indiana,03/19/20
Iowa,NaN
Kansas,03/18/20
Kentucky,03/16/20
Louisiana,03/16/20
Maine,NaN
Maryland,03/16/20
Massachusetts,03/17/20
Michigan,03/16/20
Minnesota,03/18/20
Mississippi,03/20/20
Missouri,03/19/20
Montana,03/16/20
Nebraska,NaN
Nevada,03/16/20
New Hampshire,03/16/20
New Jersey,03/18/20
New Mexico,03/16/20
New York,03/18/20
North Carolina,03/16/20
North Dakota,03/16/20
Ohio,03/17/20
Oklahoma,03/17/20
Oregon,03/16/20
Pennsylvania,03/16/20
Rhode Island,03/16/20
South Carolina,03/16/20
South Dakota,03/16/20
Tennessee,03/20/20
Texas,03/23/20
Utah,03/16/20
Vermont,03/18/20
Virginia,03/16/20
Washington,03/17/20
West Virginia,03/16/20
Wisconsin,03/18/20
Wyoming,03/20/20
