State,Urban
Alabama,59.0
Alaska,66.0
Arizona,89.8
Arkansas,56.2
California,95.0
Colorado,86.2
Connecticut,88.0
Delaware,83.3
District of Columbia,100.0
Florida,91.2
Georgia,75.1
Hawaii,91.9
Idaho,70.6
Illinois,88.5
Indiana,72.4
Iowa,64.0
Kansas,74.2
Kentucky,58.4
Louisiana,73.2
Maine,38.7
Maryland,87.2
Massachusetts,92.0
Michigan,74.6
Minnesota,73.3
Mississippi,49.4
Missouri,70.4
Montana,55.9
Nebraska,73.1
Nevada,94.2
New Hampshire,60.3
New Jersey,94.7
New Mexico,77.4
New York,87.9
North Carolina,66.1
North Dakota,59.9
Ohio,77.9
Oklahoma,66.2
Oregon,81.0
Pennsylvania,78.7
Rhode Island,90.7
South Carolina,66.3
South Dakota,56.7
Tennessee,66.4
Texas,84.7
Utah,90.6
Vermont,38.9
Virginia,75.5
Washington,84.1
West Virginia,48.7
Wisconsin,70.2
Wyoming,64.8
